,GEOID,race_prop,race_nonw,tenu_p-rent,tenu_rent,tenu_tot
2169,410510029023,0.3434125269978402,477,0.19480519480519481,90,462
2170,410050203033,0.17903930131004367,492,0.2273519163763066,261,1148
2171,410459709003,0.28217175672148265,1081,0.3415492957746479,97,284
2172,410050229053,0.10157728706624605,161,0.30755064456721914,167,543
2173,410050230022,0.10069317767238234,276,0.0859375,77,896
2174,410699601002,0.0608187134502924,52,0.25,95,380
2175,410670312003,0.14675118858954042,463,0.612274368231047,848,1385
2176,410459400001,,0,,0,0
2177,410459709002,0.009523809523809525,6,0.36220472440944884,92,254
2178,410430208022,0.08405603735823883,126,0.5872274143302181,377,642
2179,410430208012,0.17715768981181051,273,0.713506139154161,523,733
2180,410050239011,0.10207100591715976,552,0.2634920634920635,498,1890
2181,410470011003,0.093711467324291,152,0.6657142857142857,466,700
2182,410470020004,0.12021089630931459,342,0.46900489396411094,575,1226
2183,410050203043,0.22887163088168114,501,0.6289978678038379,590,938
2184,410470022023,0.11723679840584524,353,0.39185750636132316,462,1179
2185,410470021011,0.06098741529525654,63,0.8199121522693997,560,683
2186,410470025011,0.05464773640503617,204,0.21273516642547033,294,1382
2187,410470023043,0.1659062629614268,400,0.6866537717601547,710,1034
2188,410470102022,0.18649237472766886,428,0.19005102040816327,149,784
2189,410470102024,0.16602067183462532,514,0.24724724724724725,247,999
2190,410470103073,0.05405405405405406,70,0.12569832402234637,90,716
2191,410470022011,0.08655737704918033,132,0.19863013698630136,116,584
2192,410670315083,0.05518394648829431,66,0.734020618556701,356,485
2193,410670315111,0.18064263322884014,461,0.19153936545240893,163,851
2194,410670318062,0.07858428314337132,131,0.16775244299674266,103,614
2195,410670322001,0.10650329877474081,565,0.12035928143712575,201,1670
2196,410670332001,0.24022346368715083,215,0.46,138,300
2197,410050210002,0.13919867823213547,337,0.3343108504398827,342,1023
2198,410050215001,0.13218390804597702,299,0.13657957244655583,115,842
2199,410050226021,0.08089097303634232,207,0.09389671361502347,80,852
2200,410050227023,0.040149393090569564,43,0.06726457399103139,30,446
2201,410419510002,0.37397769516728624,503,0.7,392,560
2202,410359706001,0.09852216748768473,160,0.31871838111298484,189,593
2203,410359709003,0.11864406779661017,147,0.5673469387755102,278,490
