,GEOID,hhinc_low
1312,410390038004,747
1313,410390038005,1018
1314,410430208011,188
1315,410319400002,228
1316,410319400001,190
1317,410319603022,123
1318,410670319123,74
1319,410670319122,54
1320,410670316161,224
1321,410670316162,413
1322,410670316093,111
1323,410670316092,875
1324,410670316094,265
1325,410670315142,139
1326,410670315141,74
1327,410510009022,182
1328,410510009023,146
1329,410510009021,293
1330,410510100012,194
1331,410170011002,28
1332,410170011001,277
1333,410170007002,400
1334,410390052002,134
1335,410390035001,163
1336,410390036001,475
1337,410390036002,34
1338,410510036014,57
1339,410510036013,169
1340,410510036011,26
1341,410510040013,274
1342,410510040014,233
1343,410510052001,454
1344,410510057001,212
1345,410510060011,122
1346,410510065012,224
1347,410659706002,243
1348,410659703002,68
1349,410470103064,160
1350,410470103065,113
1351,410470103061,584
1352,410470103063,123
1353,410470103062,324
1354,410470014021,106
1355,410470014022,227
1356,410470014023,369
1357,410170010014,265
1358,410170010012,477
1359,410170010013,173
1360,410170004011,379
1361,410170004012,263
1362,410470007013,184
1363,410470007012,324
1364,410470005021,240
1365,410470005022,224
1366,410470014012,89
1367,410470025022,292
1368,410470025021,140
1369,410290017004,691
1370,410510029013,163
1371,410510029011,53
1372,410510029012,41
1373,410510036032,107
1374,410510040022,68
1375,410510040023,109
1376,410510040024,122
1377,410510041023,117
1378,410510041022,96
1379,410510045001,327
1380,410510028023,92
1381,410510028022,38
1382,410510036021,49
1383,410510036022,83
1384,410510051001,1450
1385,410510051002,1113
1386,410510086001,210
1387,410510086002,339
1388,410510071001,87
1389,410510080012,346
1390,410510085001,357
1391,410670306002,366
1392,410510100013,900
1393,410510004012,37
1394,410510004014,53
1395,410510004011,95
1396,410510004013,97
1397,410510041014,379
1398,410510041011,77
1399,410510041013,400
1400,410510041012,96
1401,410510056001,760
1402,410510056003,409
1403,410670324041,59
1404,410670314021,338
1405,410670314043,196
1406,410670314044,51
1407,410670315081,61
1408,410670315082,8
1409,410670315112,42
1410,410670318061,141
1411,410670318063,65
1412,410670322004,73
1413,410670322002,126
1414,410670322003,85
1415,410670313001,529
1416,410159504004,192
1417,410159503023,353
1418,410510082012,91
1419,410510096031,241
1420,410510102001,189
1421,410619708001,210
1422,410619708004,115
1423,410619706002,105
1424,410430203004,155
1425,410430203001,49
1426,410430203002,233
1427,410430204002,253
1428,410430204004,334
1429,410670318152,317
1430,410470027001,195
1431,410050205011,164
1432,410050207002,113
1433,410050207001,65
1434,410050225001,288
1435,410050225002,324
1436,410050225004,102
1437,410050225003,213
1438,410050234012,234
1439,410050234011,228
1440,410050234013,79
1441,410050241003,173
1442,410050241001,106
1443,410050206001,166
1444,410050206003,255
1445,410050203031,229
1446,410050208002,166
1447,410050208003,356
1448,410050221012,110
1449,410050221011,226
1450,410359716002,287
1451,410359716003,417
1452,410359712003,161
1453,410359712002,190
1454,410359713006,160
1455,410359713003,317
1456,410359713001,153
1457,410359713005,279
1458,410359709002,354
1459,410359709001,174
1460,410359719001,158
1461,410359719004,337
1462,410510042002,435
1463,410510047003,518
1464,410510047002,274
1465,410510047001,127
1466,410510065022,230
1467,410510065021,467
1468,410510068021,24
1469,410510068022,245
1470,410510075001,171
1471,410510075003,253
1472,410510075002,79
1473,410510078001,214
1474,410510078002,91
1475,410510088001,248
1476,410510088002,191
1477,410510092013,550
1478,410510098041,270
1479,410510099031,55
1480,410670316174,46
1481,410670316173,111
1482,410670316172,130
1483,410670316171,82
1484,410670321101,156
1485,410290004061,606
1486,410290004062,320
1487,410290005021,175
1488,410290005022,604
1489,410290005023,989
1490,410290010022,152
